id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
PV1-001,2026-09-04,CZ,CZ,RobertNemec.com,analytics_agency,"Měsíční práce na webové analytice (tak, aby měla smysl)",fixed_package,vyšší z uvedených nejběžnějších cen,31 200 Kč,CZK,mesic,31200,cca 17 h (odvozeno z 1 850 Kč/h),neuvedeno,"GA4, GTM",neuvedeno,no,"OPRAVA P2-003: ověřeno v raw HTML 2026-09-04, doslova „nejběžnější cena je 18 500 Kč a 31 200 Kč“; poznámka z 1. kola „v curl výřezu nepotvrzen“ neplatí, údaj je na stránce; obsah je analytická práce (chování, testování, přehledy), ne monitoring; bez BQ",https://robertnemec.com/umime/digitalni-analytika/webova-analytika/,E2-009
PV1-002,2026-09-04,CZ,CZ,RobertNemec.com,analytics_agency,Jednorázová analýza chování vašich návštěvníků a/nebo testování,fixed_package,od,9 250 Kč,CZK,jednorazove,,,,"GA4, GTM",,no,"NOVÁ: projektová (jednorázová) cena téhož dodavatele; ukazuje, že 9 250 Kč je zároveň spodní hranice projektu i měsíční práce",https://robertnemec.com/umime/digitalni-analytika/webova-analytika/,E2-009
PV1-003,2026-09-04,CZ,CZ,RobertNemec.com,analytics_agency,Jednorázová analýza chování vašich návštěvníků a/nebo testování – běžná cena,fixed_package,běžná cena,"20 000–40 000 Kč, nebo okolo 100 000 Kč",CZK,jednorazove,,,,"GA4, GTM",,no,"NOVÁ: doslova „Běžná cena je buď mezi 20 až 40 000 Kč, nebo okolo 100 000 Kč“; bimodální rozdělení projektů, ne měsíční cena",https://robertnemec.com/umime/digitalni-analytika/webova-analytika/,E2-009
PV1-004,2026-09-04,CZ,CZ,Tomáš Khoder (khoder.cz),freelancer,Google Nákupy (Google Shopping) Bestsellers + Zombies kampaně – Měsíční správa,fixed_package,měsíční správa,4 500 Kč,CZK,mesic,4500,,1 e-shop,Google Ads / Google Nákupy,odpověď obvykle do 24 hodin,no,"NOVÁ: v ceníku přibyl sloupec „Měsíční správa“; tvorba 11 500 Kč; kotva měsíční ceny za správu kampaní u téhož dodavatele, který za měření měsíční správu nenabízí",https://www.khoder.cz/,E2-011
PV1-005,2026-09-04,CZ,CZ,Tomáš Khoder (khoder.cz),freelancer,Facebook Ads kampaně – Měsíční správa,fixed_package,měsíční správa,3 500 Kč,CZK,mesic,3500,,1 e-shop,Meta Ads,odpověď obvykle do 24 hodin,no,NOVÁ: tvorba 9 500 Kč; měsíční správa kampaní jako kotva,https://www.khoder.cz/,E2-011
PV1-006,2026-09-04,CZ,CZ,Tomáš Khoder (khoder.cz),freelancer,"Nastavení GTM pro web – Prezenční web (WordPress, aj.) s běžnými eventy",fixed_package,jednorázově,2 500 Kč,CZK,jednorazove,,,1 web,"GTM, GA4",,no,"NOVÁ: v ceníku má obě GTM položky (web 2 500 Kč, e-shop 7 500 Kč) ve sloupci „Měsíční správa“ pomlčku — měření se u tohoto dodavatele měsíčně nespravuje, zatímco kampaně a report ano",https://www.khoder.cz/,E2-011
PV1-007,2026-09-04,CZ,CZ,Václav Ráš (dataras.cz),freelancer,"Profesionální implementace ecommerce měření (GTM, GA4, BigQuery, Hotjar)",fixed_package,od,16 900 Kč,CZK,jednorazove,,,1,"GTM, GA4, BigQuery, Hotjar",,yes,"NOVÁ: v 1. kole jen v textu reportu, ne v CSV; BQ je součástí i tohoto balíčku",https://dataras.cz/,E2-010
PV1-008,2026-09-04,CZ,CZ,Václav Ráš (dataras.cz),freelancer,Tvorba reportu v Looker Studiu nad BigQuery daty,fixed_package,od,4 300 Kč,CZK,jednorazove,,,,"Looker Studio, BigQuery",,yes,NOVÁ: projektová kotva pro reporting nad BQ,https://dataras.cz/,E2-010
PV1-009,2026-09-04,CZ,CZ,Václav Ráš (dataras.cz),freelancer,Implementace cookie lišty s anonymním měřením v GTM,fixed_package,jednorázově,7 200 Kč,CZK,jednorazove,,,,"GTM, CMP",,no,NOVÁ: consent je samostatně placená položka (kotva k pain clusteru consent_change),https://dataras.cz/,E2-010
PV1-010,2026-09-04,CZ,CZ,Softmedia,saas_tool,Provoz server-side GTM – malý projekt (jen transakce),saas,,nedostupné (v 1. kole 1 000 Kč/měs),CZK,mesic,,,1,sGTM,,no,"OPRAVA P2-034: verdikt refuted — článek je k 2026-09-04 přepsán (datum 10. 6. 2026) a neobsahuje žádnou cenu, jen větu „Infrastrukturu dál hlídáme a aktualizujeme“; Wayback snapshot URL neexistuje, číslo nelze doložit; vyřadit z cenové distribuce sGTM",https://softmedia.cz/novinky-ze-softmedia/serverove-gtm-pro-presnejsi-data/,E2-053
PV1-011,2026-09-04,CZ,CZ,Softmedia,saas_tool,Provoz server-side GTM – ~10 M hitů/měs,saas,,nedostupné (v 1. kole 2 500–4 000 Kč/měs),CZK,mesic,,,1,sGTM,,no,"OPRAVA P2-035: verdikt refuted — článek je k 2026-09-04 přepsán (datum 10. 6. 2026) a neobsahuje žádnou cenu, jen větu „Infrastrukturu dál hlídáme a aktualizujeme“; Wayback snapshot URL neexistuje, číslo nelze doložit; vyřadit z cenové distribuce sGTM",https://softmedia.cz/novinky-ze-softmedia/serverove-gtm-pro-presnejsi-data/,E2-053
