id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
PK8-001,2026-09-06,EU,CH,Webie,analytics_agency,"La maintenance et l'evolution sont ensuite de CHF 300-500/mois selon la complexite",fixed_package,maintenance et evolution,300-500 CHF/mois,CHF,mesic,7800,neuvedeno,neuvedeno,"GA4, GTM, Looker Studio, call tracking, Meta",neuvedeno,no,"Dolni hranice pasma (300 CHF); horni 500 CHF = 13 000 Kc. Navazuje na jednorazovy setup 3 000-5 000 CHF. Rozsah: udrzba a rozvoj mereni + dashboardu, bez uvedenych hodin a bez SLA. Kody A1,A2,C1,F1. Kurz 1 CHF = 26 Kc.",https://webie.ch/services/analytics,EK8-001
PK8-002,2026-09-06,EU,FR,Ninjads,analytics_agency,"Accompagnement mensuel - Maintenance et evolution mensuelle de votre ecosysteme data",fixed_package,Accompagnement mensuel,SUR DEVIS,EUR,mesic,,neuvedeno,neuvedeno,"GA4, GTM vc. server-side, Looker Studio, BigQuery",neuvedeno,optional,"CENA NEUVEDENA (sur devis) - radek slouzi jako dukaz existence produktu, ne jako cenovy bod. Obsah: maintenance mensuelle, analyse des KPIs, A/B testing, mise a jour du dashboard. Jednorazove ceny stejneho dodavatele jsou verejne: Audit Express 590 EUR HT, Setup Premium 1 290 EUR HT (vc. sGTM a Looker Studio).",https://ninjads.fr/agence-analytics-tracking,EK8-002
PK8-003,2026-09-06,EU,FR,Ninjads,analytics_agency,"Setup Premium - Plan de taggage sur-mesure, Setup Server-Side (GTM), Dashboard Looker Studio",fixed_package,Setup Premium,1290 EUR HT,EUR,jednorazove,,neuvedeno,1,"GA4, GTM server-side, Looker Studio",neuvedeno,no,"Jednorazovy setup vc. server-side GTM; Audit Express 590 EUR HT. Kurz 1 EUR = 25 Kc. Slouzi jako kotva pomeru jednorazova implementace vs. mesicni sprava ve Francii.",https://ninjads.fr/agence-analytics-tracking,EK8-002
PK8-004,2026-09-06,EU,FR,"Malt.fr (10 freelanceru GA4/GTM, median)",freelancer,"Consultant Google Analytics & Google Tag Manager / Expert GA4 - TJM verejny na profilu",hourly_rate,median vzorku,450 EUR/jour (56 EUR/h pri 8h dni),EUR,hodina,14063,proxy 10 h,neuvedeno,"GA4, GTM, server-side GTM",neuvedeno,unknown,"proxy 10 h. Median TJM 450 EUR/den z 10 profilu prvni strany (rozpeti 400-750 EUR/den). Prepocet: 450/8 = 56,25 EUR/h x 10 h = 562,5 EUR = 14 063 Kc. Kurz 1 EUR = 25 Kc. Sazba, ne paušal - neni to cena za spravu.",https://www.malt.fr/s?q=google%20analytics,EK8-004
PK8-005,2026-09-06,EU,FR,"Malt.fr - Noe / Luc (nejnizsi TJM ve vzorku)",freelancer,"Tracking, Google Analytics, Google Tag Manager",hourly_rate,dolni hranice vzorku,400 EUR/jour (50 EUR/h),EUR,hodina,12500,proxy 10 h,neuvedeno,"GA4, GTM",neuvedeno,unknown,"proxy 10 h. Nejnizsi verejny TJM ve vzorku 10 francouzskych GA4/GTM freelanceru. 400/8 = 50 EUR/h x 10 h = 500 EUR = 12 500 Kc. Horni hranice vzorku Edouard 750 EUR/den = 23 438 Kc/10 h. Kurz 1 EUR = 25 Kc.",https://www.malt.fr/s?q=google%20analytics,EK8-004
PK8-006,2026-09-06,EU,FR,Addingwell,saas_tool,"Hosting server-side GTM - 1 000 000 requetes/mois",saas,1M requests,90 EUR/mois,EUR,mesic,2250,0,1 kontejner,"server-side GTM (Google Cloud)",neuvedeno (e-mail/chat/telefon bez SLA),no,"Cena za INFRASTRUKTURU sGTM, nikoli za spravu mereni. Dalsi tiery: 5M=120 EUR (3 000 Kc), 12M=210 EUR (5 250 Kc), 25M=360 EUR (9 000 Kc), 50M=640 EUR (16 000 Kc), 100M=1 190 EUR (29 750 Kc). Priplatky: dalsi kontejner 30 EUR/mes, domena 10 EUR/mes, region 20 EUR/mes. Kurz 1 EUR = 25 Kc. Kody A5, G5.",https://www.addingwell.com/fr/pricing,EK8-005
PK8-007,2026-09-06,EU,FR,Addingwell,saas_tool,"Hosting server-side GTM - 25 000 000 requetes/mois",saas,25M requests,360 EUR/mois,EUR,mesic,9000,0,1 kontejner,"server-side GTM (Google Cloud)",neuvedeno,no,"Stredni tier pro e-shop s vysokym trafficem. Cena za infrastrukturu sGTM bez spravy mereni. Kurz 1 EUR = 25 Kc.",https://www.addingwell.com/fr/pricing,EK8-005
PK8-008,2026-09-06,EU,FR,Umane,analytics_agency,"configuration technique (conteneur GTM server-side + API Conversions Meta + Enhanced Conversions Google + Consent Mode v2)",fixed_package,jednorazova konfigurace,800-2 500 EUR,EUR,jednorazove,,neuvedeno,1,"GTM server-side, Meta CAPI, Google Ads enhanced conversions, Consent Mode v2",neuvedeno,no,"Jednorazova cena, nikoli mesicni. Kontinualni sprava u tohoto dodavatele NENI produktem s cenou. Kurz 1 EUR = 25 Kc. Uvedeno jako kotva pomeru implementace vs. sprava ve Francii.",https://umane.fr/strategie-digitale/tracking-gtm-google-analytics/,EK8-006
PK8-009,2026-09-06,EU,PL,Pawel Piekarski,freelancer,"Opieka analityczna",fixed_package,jediny (od),od 3 000 zl netto/mies.,PLN,mesic,17400,neuvedeno,neuvedeno,"GA4, GTM, wizualizacja danych",neuvedeno,unknown,"VEREJNA mesicni cena za pojmenovany produkt kontinualni analyticke spravy v PL. Rozsah dle stranky: detekce anomalii, konverze, zdroje navstevnosti, rozpocty kampani, UX audity - tj. sirsi nez cista sprava mereni (obsahuje I1 analytickou praci a UX). scope: hodiny neuvedeny, SLA neuvedeno, BigQuery nezminen. Vstupni implementace od 1 500 zl netto. Kurz 1 PLN = 5,8 Kc.",https://pawelpiekarski.pl/,EK8-007
PK8-010,2026-09-06,EU,PL,Pawel Piekarski,freelancer,"Wdrozenie analityki",fixed_package,od,od 1 500 zl netto,PLN,jednorazove,,neuvedeno,1,"GA4, GTM",neuvedeno,no,"Jednorazova implementace mereni. Pomer u jednoho dodavatele: mesicni sprava (3 000 zl) = 2x jednorazova implementace (1 500 zl) - tj. sprava se zaplati za dva mesice. Kurz 1 PLN = 5,8 Kc.",https://pawelpiekarski.pl/,EK8-007
