id,date_accessed,phase,region,source_type,source_name,source_url,quote_verbatim,language,summary_cs,relates_to_rq,relates_to_hypothesis,notes
E2-001,2026-09-04,2,CZ,web_agentury,Digitální architekti – Pravidelná údržba a monitoring měření,https://digitalniarchitekti.cz/produkty/pravidelna-udrzba-a-monitoring-mereni/,"Pravidelná údržba a monitoring měření … Týdenní nebo měsíční kontroly (dle velikosti webu, zaměření a požadavků)",cs,"Jediná nalezená CZ stránka, která kontinuální správu pojmenovává jako samostatný produkt; obsah: kontrola konverzí/eventů/e-commerce, testování stěžejních událostí, ověření umístění kódů, monitorování změn ovlivňujících měření, aktualizace sledování nových prvků. Nástroje: GA4, FB Pixel/CAPI, Google Ads, Sklik, LinkedIn, sGTM, BigQuery. Cena neuvedena.","RQ1,RQ6,RQ5","H2,H3",stránka publikována 30. 10. 2023 (autor Kristýna Bulíková)
E2-002,2026-09-04,2,CZ,web_agentury,Digitální architekti – Pravidelná údržba a monitoring měření,https://digitalniarchitekti.cz/produkty/pravidelna-udrzba-a-monitoring-mereni/,součást „každodenního provozu“,cs,"Trigger: službu doporučují okamžitě, kvůli nepředvídatelným změnám v systémech a na webech; cílovka: e-shopy a firmy s reklamními kampaněmi.",RQ4,H2,
E2-003,2026-09-04,2,CZ,web_agentury,Digitální architekti – GTM správa,https://digitalniarchitekti.cz/spravujeme-gtm-pro-klicove-hrace-ceske-ecommerce/,"Implementace, rozvoj a péči Google Tag Manager … bez potřeby zásahu webového vývojáře",cs,"Správa GTM = dlouhodobá údržba, řešení přístupů, údržba názvosloví a dokumentace, server-side tagging, konverzní API. Poptávkový formulář nabízí rozpočtová pásma 5 000–10 000 / 11 000–20 000 / 21 000–40 000 / 41 000+ Kč (období neuvedeno).","RQ1,RQ2",H3,"rozpočtová pásma jsou z formuláře, nejde o ceník"
E2-004,2026-09-04,2,CZ,web_agentury,Digitální architekti – Dokumentace GA/GTM,https://digitalniarchitekti.cz/produkty/dokumentace-ga-gtm/,"Po měsíci člověk zapomíná, co a kde nastavil … Změna zaměstnanců či vedoucích pracovníků – pokud dokumentaci nemáte, veškerá nastavení odcházejí",cs,"Pain unknown_owner/access_lost pojmenovaný explicitně; doporučují při změně lidí, novém dodavateli, před redesignem/migrací.","RQ3,RQ4",H2,
E2-005,2026-09-04,2,CZ,web_agentury,Digitální architekti – Onboarding proces,https://digitalniarchitekti.cz/produkty/onboarding-proces/,měsíční spolupráce v závislosti na rozsahu požadovaných služeb … Měření je nutné udržovat aktuální,cs,"13-krokový onboarding (audit 100+ kontrol, workshop, implementace 1–3 měsíce s týdenní komunikací, testování min. 2 testeři, 3–5 školení à 90 min). Po implementaci: pravidelné úpravy měření, garanční kontroly, u větších projektů seniorní/strategické úkony.","RQ1,RQ4,RQ6","H2,H3",
E2-006,2026-09-04,2,CZ,web_agentury,Digitální architekti – Webová a digitální analytika,https://digitalniarchitekti.cz/webova-analytika-digitalni-analytika/,"Dlouhodobá spolupráce – Monitorování, alerty, testy, reporting a konzultace při klíčových rozhodnutích … udržování kódů aktuálních, zkontrolovaných, auditovaných",cs,Dlouhodobá spolupráce vyjmenována jako samostatný blok služby.,"RQ1,RQ6",H2,
E2-007,2026-09-04,2,CZ,case_study,Digitální architekti – Shoptet case,https://digitalniarchitekti.cz/clanek/poklad-v-datech-cesta-shoptetu-k-analyticke-vyspelosti/,"Zadání nastavit 4 události na 30 webech je velice náročné, právě z toho důvodu, že to jsou 4 události napříč 30 weby.",cs,Roční outsourcing analytiky pro Shoptet; zavádění kontrol schémat dataLayer a pravidelných alertů na kvalitu dat; weby na různých technologiích.,"RQ1,RQ6","H2,H5",
E2-008,2026-09-04,2,CZ,inzerat,Digitální architekti – Webový analytik (medior),https://digitalniarchitekti.cz/webovy-analytik-medior/,"Správa a optimalizace měřících nástrojů na webech klientů (Google Analytics, Google Tag Manager, atd.) … Pravidelné vytváření reportů a interpretace výsledků pro naše klienty (Looker Studio) … Instalace a správa měřících kódů na webových stránkách klientů, včetně e-commerce projektů",cs,"Náplň práce agenturního analytika = to, co se prodává jako správa. Mzda neuvedena, forma spolupráce dle domluhy.",RQ1,H3,
E2-009,2026-09-04,2,CZ,web_agentury,RobertNemec.com – Webová analytika,https://robertnemec.com/umime/digitalni-analytika/webova-analytika/,"Měsíční práce na webové analytice (tak, aby měla smysl) začínají na 9 250 Kč, nejběžnější cena je 18 500 Kč … Cena je cena 1 850 Kč/h … spravujeme více jak 180 profilů s měsíční návštěvností přes 9 000 000 návštěvníků",cs,"Jediná agentura s veřejnou měsíční cenou za analytiku (WebFetch stránky uvádí i variantu 31 200 Kč). Obsah je analytický (chování návštěvníků, testování, přehledy na míru), ne monitoring.","RQ2,RQ1",H3,"31 200 Kč z výstupu WebFetch, curl výřez končil u 18 500"
E2-010,2026-09-04,2,CZ,web_freelancer,Václav Ráš – dataras.cz ceník,https://dataras.cz/,"Úvodní konzultace (1-2 h) 4 000 Kč … Krátkodobá spolupráce 2 400 Kč/h … Dlouhodobá spolupráce (více než 2 dny měsíčně) 13 000 Kč/MD … Základní implementace měření (GTM, GA4, BigQuery): 5 700 Kč … Tvorba reportu v Looker Studiu nad BigQuery daty: od 4 300 Kč … preferuji dlouhodobou spolupráci",cs,Veřejný ceník freelancera; dlouhodobá spolupráce definována minimem 2 MD/měs (=26 000 Kč/měs). BigQuery je součástí i základní implementace (BQ-first přístup).,"RQ2,RQ5","H1,H3",
