id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
NG11-001,2026-09-04,US,eshop_mid,review,https://apps.shopify.com/gtm-datalayer-by-elevar/reviews?ratings%5B%5D=1,"their report always shows 100% accuracy by default no matter what, just misleading.",en,"E-shop používá placený tracking nástroj, jehož dashboard trvale hlásí 100% přesnost; klient tedy nemá signál, že něco nesedí",tool_noise,vůbec ne z nástroje – nástroj hlásí OK,neuvedeno,"Falešné uklidnění: klient si myslí, že měření funguje, a nekontroluje ho","Nezávislá kontrola člověkem (rekonciliace proti backendu), ne důvěra ve skóre nástroje",no,Falešné uklidnění nástroje (opak falešného poplachu),EG11-011
NG11-002,2026-09-04,US,eshop_small,review,https://apps.shopify.com/gtm-datalayer-by-elevar/reviews?ratings%5B%5D=1,"Support is non existent. I asked same question 3 times, and got emails with articles not answering my question but rather suggesting I pay them $1000 for integration.",en,"E-shop koupil tracking nástroj, ale bez lidské pomoci ho nedokázal zprovoznit; support odkazoval na články a placenou integraci za 1 000 USD",unknown_owner,při pokusu o vlastní nastavení,neuvedeno,"Nástroj zaplacen, měření nefunguje; k tomu požadavek dalších 23 000 Kč za implementaci","Služba, kde je implementace a reakce součástí paušálu, ne add-on",no,Nástroj bez člověka nedoručí,EG11-012
NG11-003,2026-09-04,EU,eshop_small,review,https://apps.shopify.com/gtm-datalayer-by-elevar/reviews?ratings%5B%5D=1,Trashiest dirtiest uninstall ever. I don't understand how Shopify tolerates this. Elevar seeps in every corners of code it is a nightmare to clean up.,en,Po odinstalaci tracking aplikace zůstal kód rozeseto po celém webu; e-shop musel ručně čistit,unknown_owner,až při odinstalaci / úklidu,neuvedeno,"Zbytkové tagy a kód, u kterých nikdo neví, co dělají; riziko duplicit a zpomalení webu",Changelog a kvartální úklid tagů (A6) jako součást správy,no,Mrtvé tagy po nástrojích a agenturách,EG11-013
NG11-004,2026-09-04,US,eshop_large,review,https://www.capterra.com/p/156573/WebAssurance/,Frequent web journey failures in production without any change in scripts/environment,en,"Enterprise tag monitoring (ObservePoint) opakovaně hlásí selhání syntetických průchodů webem, ačkoli se na webu nic nezměnilo",tool_noise,alert z nástroje,"okamžitě, ale falešně","Tým ztrácí čas tříděním falešných poplachů; hrozí, že si na alerty zvykne a přehlédne skutečný","Člověk, který alerty třídí a udržuje testovací scénáře (A1 + G7); práh a whitelist známých falešných pádů",no,Falešné poplachy syntetického monitoringu,EG11-021
NG11-005,2026-09-04,US,agency,review,https://www.capterra.com/p/10014335/Trackingplan/reviews/,"poor in visual data consulting, information is completely raw",en,"Agentura koupila monitoring kvality měření, ale dostává surová data bez výkladu; musí si sama vyrobit interpretaci pro klienta",tool_noise,–,–,Nástroj generuje práci navíc: někdo musí surová zjištění přeložit do doporučení,"Služba, která nad nástrojem dodává komentář a prioritizaci (F3 + G7)",no,"Nástroj dodá data, ne rozhodnutí",EG11-022
NG11-006,2026-09-04,US,eshop_mid,review,https://www.capterra.com/p/10028367/wetracked-io/reviews/,The reconnection process after switching accounts was confusing,en,Po změně reklamního účtu bylo nutné znovu propojit tracking nástroj a proces byl matoucí; do doby opětovného propojení data nechodí,connector_token,až uživatel narazil na chybějící data,neuvedeno,"Výpadek měření po změně účtu; riziko, že si toho nikdo nevšimne",Kvartální audit přístupů a propojení (C6) + alert na výpadek konektoru (G6),no,Re-autorizace a změny účtů jako trvalá lidská práce,EG11-025
NG11-007,2026-09-04,EU,agency,review,https://www.getapp.com/marketing-software/a/supermetrics/reviews/,It also loses connection multiple times.,en,Agentura provozuje reporting nad konektorem Supermetrics; konektor opakovaně ztrácí spojení a dashboardy se zastaví,connector_token,až když se dashboard nenaplní nebo přijde denní alert (Supermetrics posílá souhrn 1x za 24 h),až 24 hodin (kadence alertů dodavatele),Report klientovi je neúplný nebo prázdný; ztráta důvěry,"Někdo, kdo denně kontroluje běhy konektorů a re-autorizuje (F2/E6)",no,Výpadky konektorů,EG11-019
NG11-008,2026-09-04,EU,eshop_mid,blog,https://alexisvantal.com/articles/server-side-gtm-cost/,"your realistic floor is not $45 but closer to $90/month, before a single traffic spike",en,"E-shop si nechal postavit vlastní sGTM na Cloud Run podle návodů, které uvádějí ~45 USD/měs; reálná faktura je dvojnásobná a roste s trafficem",infra_cost,až z faktury GCP,měsíc (fakturační cyklus),"Nečekaný provozní náklad, který nikdo nerozpočtoval; tlak na vypnutí sGTM",Předem spočítaný a nasmlouvaný provozní náklad + budget alert v GCP (E2),no,Náklady sGTM infrastruktury,EG11-027
NG11-009,2026-09-04,EU,eshop_large,blog,https://analyzify.com/hub/google-cloud-run-vs-stape-pricing,your bill changes with every spike in traffic or heavier script load,en,"Provoz sGTM na Cloud Run: faktura se mění s každým skokem návštěvnosti a s každým přidaným tagem; náklad na 10 000 requestů 0,25 EUR vs. 0,083 EUR u fixního hostingu",infra_cost,z měsíční faktury GCP,měsíc,Trojnásobný náklad na request oproti managed hostingu; nepredikovatelný rozpočet,"Volba fixního tieru hostingu nebo hlídání nákladů jako součást správy (A5, E2)",no,Náklady sGTM infrastruktury,EG11-028
NG11-010,2026-09-04,US,eshop_small,review,https://www.capterra.com/p/254140/Analyzify/,"Bit costly now. When we purchased it, price was affordable",en,"E-shop koupil balíček nastavení měření; po zdražení vnímá cenu jako vysokou, ale zůstává, protože vlastní čas je dražší",infra_cost,–,–,Rostoucí cena nástrojů v měřicím stacku; tlak na konsolidaci,Jedna položka za správu místo skládanky nástrojů,no,Rostoucí cena nástrojového stacku,EG11-029
NG11-011,2026-09-04,US,saas_marketplace,review,https://www.capterra.com/p/170147/Fivetran/reviews/,Minimal visibility into what's happening behind the scenes ... when there is an issue it is sometimes hard to diagnose,en,"Datový tým provozuje ELT konektory do skladu; když nastane problém, nástroj neposkytne dost logů na diagnózu",connector_token,z alertu nástroje o selhání běhu,hodiny až dny,Diagnostika a backfill zaberou čas člověka; do té doby jsou reporty neúplné,"Vlastní kontrolní dotazy nad cílovými tabulkami (počet řádků, poslední datum) místo spoléhání na alert konektoru",yes,"Nástroj oznámí selhání, ale ne příčinu",EG11-030
NG11-012,2026-09-04,EU,agency,review,https://www.capterra.com/p/202311/Coupler-io/reviews/,"It lacks the ability to detect already imported rows for database destinations, which can lead to duplicates",en,Agentura importuje marketingová data do databáze přes levný konektor; ten nedetekuje již importované řádky a vznikají duplicity,connector_token,až při nesouhlasu čísel v reportu,neuvedeno,Nadhodnocená čísla v reportu klienta; ztráta důvěry v dashboard,Kontrola unikátnosti klíčů po importu (obdoba Dataform assertions) jako součást správy,optional,Tichá duplicita dat v pipeline,EG11-031
NG11-013,2026-09-04,US,eshop_small,review,https://www.producthunt.com/products/ga4-auditor/reviews,a few red herrings,en,"Uživatel spustil automatický audit GA4; report obsahoval nálezy, které pro jeho konfiguraci nebyly relevantní",tool_noise,z reportu nástroje,okamžitě,"Uživatel musí sám rozhodnout, které z nálezů jsou skutečné – bez znalosti kontextu to nejde","Člověk, který nálezy prioritizuje podle konkrétního nastavení klienta (G7)",no,Falešné nálezy auditních nástrojů,EG11-036
NG11-014,2026-09-04,EU,eshop_mid,website,https://www.webtonic.io/blog/best-ga4-implementation-tools,48 percent of websites were found to carry at least one Google Consent Mode misconfiguration,en,"Téměř polovina webů má aspoň jednu chybnou konfiguraci Google Consent Mode, aniž by o tom majitel věděl",consent_change,vůbec – projeví se jen nižšími čísly v Ads a horším modelováním konverzí,neuvedeno (tiché),20–30 % reklamního rozpočtu zkresleno rozbitým měřením (odhad ve stejném zdroji),Průběžná kontrola chování tagů proti stavu souhlasu (B1) místo jednorázového nasazení CMP,unknown,Consent mode rozbitý bez povšimnutí,EG11-039
NG11-015,2026-09-04,US,eshop_small,review,https://apps.shopify.com/analyzify/reviews,"The app stopped working ... Direct impact on my business, causing a significant drop in sales",en,E-shop používal placenou aplikaci pro GA4 měření na Shopify; aplikace během tří let opakovaně přestala fungovat,tool_noise,až podle propadu prodejů / z chování kampaní,neuvedeno (zjištěno až z obchodních výsledků),Přímý dopad na tržby podle recenzenta,"Nezávislý monitoring nad nástrojem a někdo, kdo na výpadek reaguje (G7)",no,Selže i samotný měřicí nástroj – a tiše,EG11-042
