id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
NG5-001,2026-09-04,SK,eshop_mid,blog,https://milosvargic.blog.pravda.sk/2026/06/12/preco-google-ads-ukazuje-pekny-roas-ale-e-shop-nevidi-rovnake-trzby/,"„Ako je možné, že Google Ads ukazuje ROAS 700 %, ale na účte to nevidím?“ „Prečo máme podľa reklám vysoké tržby, ale zisk je nízky?“ „Ako môže kampaň vyzerať úspešne, keď e-shop reálne nerastie?“",sk,"Majitel e-shopu vidí v Google Ads ROAS 700 %, ale v účetnictví a na bankovním účtu se to neprojeví; agentura to popisuje jako nejčastější dotaz od e-shopů",revenue_mismatch,"až při porovnání s účetnictvím, bankou, skladem nebo administrací e-shopu",neuvedeno,"Rozpočty se navyšují do kampaní, které nejsou ziskové; rozhodování na deformovaných datech",Denní/měsíční rekonciliace GA4 a Ads vs. objednávky v e-shopu; kontrola počtu primárních konverzních akcí v Ads,no,"Nadhodnocené měření – rozbité měření nevede k podhodnocení, ale k falešně dobrým číslům",EG5-023
NG5-002,2026-09-04,SK,eshop_mid,blog,https://milosvargic.blog.pravda.sk/2026/06/12/preco-google-ads-ukazuje-pekny-roas-ale-e-shop-nevidi-rovnake-trzby/,"E-shop môže mať súčasne nasadený Google Ads conversion tag, import konverzií z GA4, meranie cez Google Tag Manager aj ďalší doplnok v e-shopovej platforme. Výsledok? Jedna objednávka sa môže započítať dvakrát alebo dokonca viackrát. … Táto chyba je mimoriadne nebezpečná, pretože deformuje rozhodovanie.",sk,"Čtyři nezávisle nasazené způsoby měření nákupu (Ads tag, import z GA4, GTM, plugin platformy) běží současně, protože je nasazovali různí lidé v různém čase",gtm_change_dev,neodhalí se samo; jen ručním auditem počtu primárních konverzí v Google Ads,neuvedeno,"E-shop navyšuje rozpočty do kampaní, které v skutočnosti nemusia byť ziskové","Changelog a kvartální audit tagů; kontrola, které konverze jsou primární vs. pozorované",no,"Nikdo neví, co který tag dělá (unknown_owner v praxi)",EG5-023
NG5-003,2026-09-04,SK,eshop_small,blog,https://roi-index.com/preco-mi-nesedi-ga4-vs-ads-vs-shopify-shoptet-upgates-a-co-je-spravne/,"Pri Shoptete a Upgates je z praxe typické, že tracking býva nasadený cez doplnky, ktoré sa líšia kvalitou: niekedy posielajú nákup bez detailov položiek, niekedy sa spúšťajú viacnásobne pri refreshi ďakovnej stránky, alebo naopak vypadávajú pri rýchlom dokončení objednávky.",sk,"E-shop na krabicové platformě (Shoptet, Upgates) měří konverze přes doplněk třetí strany, jehož chování závisí na chování zákazníka na děkovací stránce",platform_migration,obvykle vůbec – rozdíl se schová do 'atribuce'; odhalí ho až kontrola order_id,neuvedeno,"Čísla v GA4, Ads a administraci se rozcházejí; nelze říct, které je správné","Kontrola, že purchase event odchází právě jednou s korektním order_id; monitoring duplicit",no,"Krabicová platforma + doplněk = měření, které nikdo nevlastní",EG5-025
NG5-004,2026-09-04,SK,eshop_small,blog,https://roi-index.com/preco-mi-nesedi-ga4-vs-ads-vs-shopify-shoptet-upgates-a-co-je-spravne/,"Pri Shopify je častý problém prechod cez doménu checkoutu, zmeny v checkout flow, platby a presmerovania cez brány. Ak nie je správne vyriešené cross-domain meranie, relácia sa môže rozbiť a GA4 potom pripíše objednávku nesprávnemu zdroju alebo ju zaradí do „referral“/„direct“.",sk,E-shop na Shopify po změně checkout flow nebo platební brány; cross-domain měření není ošetřeno,release_web,až když podíl direct/referral nečekaně vzroste,neuvedeno,Objednávky se připisují špatnému zdroji; kampaně se optimalizují proti špatné atribuci,Sledování podílu (direct)/(none) a referral s prahem; vyloučení platebních bran z referralů po každé změně checkoutu,no,Změna checkoutu rozbije atribuci beze změny objemu dat,EG5-025
NG5-005,2026-09-04,SK,eshop_mid,blog,https://visibility.sk/blog/e-commerce-analytika-najcastejsie-chyby-a-problemy/,"Absencia alebo chybná konfigurácia Google Analytics 4 patrí k najkritickejším chybám v e-commerce. Bez presných dát o správaní zákazníkov a nákupnej ceste strácate prehľad o efektivite kampaní. … bez korektných konverzií nie je možné optimalizovať rozpočet, čo vedie k neefektívnemu míňaniu prostriedkov",sk,"E-shop s PPC kampaněmi, jehož GA4 je nesprávně nakonfigurováno nebo chybí e-commerce eventy",ga4_change,až při auditu ze strany PPC agentury při zahájení spolupráce,neuvedeno,Kampaně se optimalizují podle druhořadých metrik (kliknutí) místo tržeb; nízká návratnost,"Ověření odesílání view_item, add_to_cart, purchase a správného připisování konverzí z Ads a Meta",no,PPC agentura objevuje rozbité měření až při převzetí účtu,EG5-026
NG5-006,2026-09-04,SK,eshop_large,website,https://bastadigital.com/enterprise-level-digitalna-analytika/,Implementácia programátormi vyžaduje opakované testovanie a kontinuálny monitoring zmien v dostupnosti dát.,sk,"Korporátní klient, kde dataLayer nasazují externí vývojáři podle specifikace analytika",release_web,"jen tehdy, když analytik průběžně kontroluje zapracování formy i obsahu dataLayeru",neuvedeno,Data pro klíčové stránky/produkty chybí v dataLayeru; report je neúplný,Průběžná kontrola zapracování dataLayeru proti specifikaci po každém nasazení (A4),optional,"Dodavatel dataLayeru není ten, kdo ho kontroluje",EG5-010
NG5-007,2026-09-04,SK,eshop_large,website,https://bastadigital.com/enterprise-level-digitalna-analytika/,"Samostatnou oblasťou na riešenie je cookie lišta. Zisťujeme dátum jej nasadenia, keďže priamo vplýva na zber dát.",sk,"Nový klient s nasazenou cookie lištou; datum nasazení je první věc, kterou agentura zjišťuje, protože v datech způsobilo zlom",consent_change,"zpětně, při analýze stavu novým dodavatelem – ne v okamžiku, kdy se to stalo",neuvedeno,"Skok v měřených objemech, který nikdo nevysvětlil; nesrovnatelnost období před/po",Zaznamenat datum nasazení a změn CMP jako událost v changelogu; sledovat podíl souhlasů,optional,Consent jako nepřiznaný zlom v časové řadě,EG5-011
NG5-008,2026-09-04,SK,eshop_small,website,https://www.vivantina.com/nastavenie-google-analytics-4/,"Ak nie je funkčný Data Layer, je potrebná práca developera, nacenená na základe hodinovej sadzby.",sk,"E-shop objedná nastavení GA4 u marketingové agentury, ale dataLayer musí dodat vývojář webu – dvě různé firmy, dva rozpočty",unknown_owner,"při pokusu nasadit e-commerce měření se zjistí, že dataLayer neexistuje nebo nefunguje",neuvedeno,E-commerce měření se odloží nebo nedokončí; e-shop zůstane bez měření tržeb,Jeden dodavatel odpovědný za dataLayer i za jeho kontrolu po releasech,no,Odpovědnost za měření rozdělená mezi agenturu a vývojáře,EG5-019
NG5-009,2026-09-04,SK,eshop_mid,website,https://dabl.sk/sluzby/webova-analytika/,"Je Vaše nastavenie analytiky naozaj správne? Dostávate včasné informácie o všetkých zmenách, ktoré treba nevyhnutne zapracovať?",sk,"Klient PPC agentury, který neví, zda jeho měření odpovídá aktuálním požadavkům platforem, a nedostává varování o změnách, které musí zapracovat",ad_platform_change,nedostává se mu informací proaktivně – agentura to používá jako prodejní argument,neuvedeno,Zmeškané změny na straně platforem se projeví jako výpadek konverzí,Sledování deadlinů Googlu/Mety/platforem za klienta a proaktivní upozornění,no,"Klient nemá, kdo by za něj sledoval změny v ekosystému",EG5-013
NG5-010,2026-09-04,SK,eshop_mid,website,https://www.dase-analytics.com/blog/sk/black-friday-checklist-10-veci-ktore-by-ste-mali-skontrolovat-co-najskor/,"Potom si idete vyhodnodnotiť kampane a zistíte, že: polovica objednávok nemá zdroj, tržby v analytike nesedia s e-shopom, Meta si pripisuje tie isté nákupy ako Google, nové platobné riešenie vám rozbilo atribúciu, alebo váš „najvýkonnejší kanál“ v skutočnosti vôbec nebol najvýkonnejší. Vtedy je už Black Friday za vami. Rozpočet je minutý a späť sa v čase nevrátite.",sk,"E-shop vyhodnocuje Black Friday kampaň až po jejím skončení a teprve tehdy zjistí, že polovina objednávek nemá zdroj a tržby nesedí s e-shopem",release_web,"až při vyhodnocení kampaně, tedy po jejím skončení",po skončení kampaně (dny až týdny),Rozpočet nejsilnějšího víkendu roku utracen podle rozbité atribuce; nelze se vrátit v čase,Kontrola měření několik týdnů před sezónou + monitoring během kampaně s prahy a odpovědnou osobou,no,"Vyhodnocení až po incidentu, kdy už se nedá nic napravit",EG5-032
