id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
N3-001,2026-09-04,SK,eshop_small,website,https://www.madaja.sk/analytika/google-analytics-4-eshop-navod/,"E-shop má Google Analytics 4 nasadené celé mesiace... majiteľ si myslí, že meria. Pritom v Monetizácii má nuly.",sk,"E-shop po přechodu na GA4 posílal e-commerce data ve starém (UA) formátu, návštěvnost v reportech vypadala normálně",ga4_change,"až při auditu/nové spolupráci; návštěvnost seděla, chyběly jen tržby",měsíce,Bez dat o tržbách podle kanálu; kampaně bez konverzních dat,Alert purchase=0 / revenue vs. backend; testovací nákup po změně,no,,E3-030
N3-002,2026-09-04,SK,eshop_small,website,https://www.madaja.sk/analytika/google-analytics-4-eshop-navod/,"Rozbité meranie sa neohlási, jednoducho ticho prestane posielať dáta. … Rozdiel nad 20 % už takmer vždy znamená chybu v nastavení.",sk,Po větší změně e-shopu přestane fungovat část měření,release_web,Srovnání GA4 vs. administrace e-shopu; práh 20 %,neuvedeno,Rozhodování podle neúplných dat,Testovací nákup po každé větší změně; automatické srovnání revenue,no,,E3-030
N3-003,2026-09-04,SK,eshop_mid,website,https://petersutarik.com/sk/blog/co-je-data-layer-preco-tracking-zlyha/,GA4 ukazovalo za apríl 184 nákupov. Shopify 291 … Dva mesiace pred auditom prebehol frontendový redizajn,sk,"DTC brand, 22 000 €/měs ad spend, frontend redesign změnil CSS třídy, tagy četly hodnoty z DOM",release_web,Audit: srovnání GA4 vs. Shopify (37 % rozdíl); Google Ads tag posílal value 0,cca 2 měsíce,Smart Bidding optimalizoval na value 0; chybějící transakce v GA4; Meta špatné názvy produktů,Strukturovaný dataLayer + automatizované testy pushů po releasu,no,,E3-023
N3-004,2026-09-04,SK,b2b_leadgen,website,https://petersutarik.com/sk/blog/gtm-triggery-ticho-chyby-ktore-rozbiju-tracking/,Tag sa spustí dvakrát. GA4 zaznamená dva eventy. Počet konverzií sa cez noc zdvojnásobí.,sk,"B2B lead-gen, 12 000 €/měs Google Ads; trigger konverze nastaven na všechny stránky místo děkovné; překrývající se triggery",gtm_change_dev,Audit: GA4 94 formulářů vs. CRM 162 (42 %),neuvedeno (do auditu),Smart Bidding na fantomové signály; zkreslené CPL,"Kvartální mapování triggerů, test single-fire, srovnání s CRM",no,,E3-024
N3-005,2026-09-04,SK,b2b_leadgen,website,https://petersutarik.com/sk/blog/ga4-konverzie-nastavenie-najcastejsie-chyby/,"Consent banner je nasadený, právne oddelenie ho schválilo, ale nikto neprepojil banner s Consent Mode v2",sk,"B2B SaaS, 14 000 €/měs Google Ads; CMP nasazena bez propojení na Consent Mode v2",consent_change,Audit: GA4 38 klíčových událostí vs. CRM 67 demo (43 %),neuvedeno,"30–60 % uživatelů bez dat; podhodnocené konverze, riziko seškrtání rozpočtu",Měsíční kontrola stavu consent mode a srovnání GA4 vs. CRM,no,,E3-025
N3-006,2026-09-04,SK,eshop_mid,website,https://petersutarik.com/sk/blog/ga4-vs-google-ads-konverzie-preco-cisla-nesedia/,GA4 ukazovalo 214 nákupných kľúčových udalostí … Google Ads hlásil 297 konverzií,sk,Brand s 22 000 €/měs v Google Ads hodnotí kampaně podle GA4,revenue_mismatch,Srovnání GA4 vs. Google Ads (39 %),"průběžně, bez vysvětlení","Chybné škrty rozpočtu, protože GA4 přerozděluje kredit organic/e-mailu",Definovaný zdroj pravdy (CRM/platební brána) a pravidelná rekonciliace,no,,E3-026
N3-007,2026-09-04,SK,unknown,website,https://www.dase-analytics.com/blog/sk/analytika-nie-je-sprint-ale-maraton/,Meranie niektorých udalostí nefunguje korektne alebo vôbec. Dôvodom bývajú zmeny na webovej stránke.,sk,Agentura při pravidelné kontrole dat klientů nachází nefunkční eventy po změnách webu,release_web,Pravidelná kontrola dat analytikem + anomaly detection,neuvedeno,Chybějící eventy v reportech a v ad platformách,Pravidelná kontrola dat / anomaly detection (součást paušálu od 700 €),optional,,E3-003
N3-008,2026-09-04,SK,eshop_mid,website,https://www.dase-analytics.com/blog/sk/analytika-nie-je-sprint-ale-maraton/,"Obzvlášť citlivé je to v prípade consent módu a zmien cookie lišty, kedy môže dôjsť k zníženiu počtu konverzií.",sk,Změna cookie lišty / consent mode u klienta,consent_change,Pokles počtu konverzií v marketingových platformách,neuvedeno,"Méně konverzí pro optimalizaci kampaní, chybná atribuce",Kontrola chování tagů podle souhlasu po každé změně CMP,optional,,E3-004
N3-009,2026-09-04,SK,unknown,website,https://www.dase-analytics.com/blog/sk/server-side-gtm-qa-common-sense-verzia/,úplný výpadok meraní,sk,sGTM na GCP: neplatná platební metoda v účtu GCP → kontejner se zastaví,connector_token,Až podle výpadku dat (článek nespecifikuje),neuvedeno,Kompletní výpadek měření všech platforem přes sGTM,Uptime monitoring sGTM + billing alert GCP,no,,E3-007
N3-010,2026-09-04,SK,eshop_small,website,https://www.dexfinity.com/dexguide/google-analytics/,"Viac ako 40 % e-shopov, s ktorými začíname spoluprácu, má GA4 nainštalovaný ale bez merania revenue.",sk,E-shopy přicházející do PPC správy mají GA4 bez e-commerce eventů,unknown_owner,Při onboardingu agentura ověřuje e-commerce tracking,často měsíce/roky (do změny agentury),Kampaně bez revenue dat; nelze počítat ROAS,Vstupní audit + kontrola purchase eventu,no,,E3-011
