id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
NG4-001,2026-09-04,CZ,eshop_small,blog,https://tomaszahalka.cz/jak-na-ga4-v-shoptetu/,"Mezi nejčastější chyby patří dvojité měření GA4 přes Shoptet i GTM, nefunkční purchase event, chybějící hodnota objednávky, špatná měna, duplicitní transakce, neoznačené kampaně, chybějící UTM parametry, špatně nastavený Consent Mode, měření bez testovací objednávky a slepé porovnávání GA4 s účetnictvím.",cs,"Shoptet e-shopy, kde měření nasazuje e-shopista nebo PPC specialista bez analytika",gtm_change_dev,"podle autora se na chyby přichází až srovnáním GA4 s administrací e-shopu; „měření bez testovací objednávky“ znamená, že se nekontroluje vůbec",neuvedeno (nekontroluje se systematicky),"GA4 ukazuje špatné tržby, výkon kampaní nebo duplicitní objednávky – rozhodnutí o rozpočtech se dělají na rozbitých číslech",A1;A4;C3;D4;B1,no,"Chyby v implementaci, které nikdo nekontroluje po nasazení",EG4-011
NG4-002,2026-09-04,CZ,eshop_mid,linkedin,https://cz.linkedin.com/posts/vaclavjelen_modelov%C3%A1n%C3%AD-v-ga4-je-ozna%C4%8Dov%C3%A1no-za-jednu-z-activity-7077578721548718085-RQeG,"Data v těchto reportech se mohou od dat v reportech kam GA4 domodelovaná data pouští výrazně lišit i v základnách metrikách, jako jsou sessions a users.",cs,E-shop se zapnutým modelováním (Reporting Identity) v GA4,ga4_change,klient vidí dvě různá čísla ve dvou reportech téhož nástroje,"okamžitě viditelné, ale nevysvětlitelné bez odborníka","ztráta důvěry v data; klient neví, které číslo je správné, a nemůže se rozhodnout",H3;F3;C2,no,GA4 si samo odporuje kvůli modelování,EG4-010
NG4-003,2026-09-04,CZ,eshop_small,forum,https://webtrh.cz/diskuse/ga4-meri-nesmyslne-navstevy-z-cizich-zemi-a-zadne-ceske/,"Na provizorní web solar-care.cz jsme přidali měření GA4, v účtu se tváří, že je vše OK, ale Google nám ukazuje nesmyslné návštěvy z Afghánistánu, Pákistánu atd. ale Česko 0.",cs,"Nový web s GA4 za CloudFlare, reklama cílená pouze na ČR",gtm_change_dev,"majitel si všiml, že v GA4 chybí české návštěvy úplně (Česko 0)","hned po nasazení, ale příčinu nedohledal ani po výměně měřicího kódu",měření webu je nepoužitelné; kampaně cílené na ČR nemají žádná data; uživatel zkusil vytvořit nový měřicí kód bez efektu,A1;A4;G3,no,"„V účtu se tváří, že je vše OK“ – tichá chyba, kterou nástroj nehlásí",EG4-014
NG4-004,2026-09-04,CZ,eshop_mid,konference,https://digitalniarchitekti.cz/clanek/measure-camp-brno-2025-hodnotne-stripky-z-konference/,"Automatizované kampaně (PMAX a spol.) stojí na kvalitních signálech. Když se měření rozbije, algoritmy ztrácí kompas a pálíte rozpočet.",cs,"Klienti s automatizovanými kampaněmi (PMAX, Smart Bidding), kde se měření rozbije na straně webu, v GTM nebo vlivem legislativy",release_web,"podle přednášky až podle výkonu kampaní, pokud není nasazený error logging; doporučené řešení je proaktivní detekce (error listeners, tag monitor, custom insights)","neuvedeno – přednáška staví na tom, že bez logování se chyba objeví až podle spáleného rozpočtu","spálený reklamní rozpočet, protože algoritmus optimalizuje na chybné signály",G4;G7;A1;A4;H2,optional,Automatizované kampaně optimalizují na rozbité signály,EG4-015
NG4-005,2026-09-04,CZ,unknown,blog,https://digitalniarchitekti.cz/clanek/12-problemu-webove-analytiky/,"sice na první pohled funguje správně … se nespouští, kdy má … se nespustí vůbec … Přijdete o významnou část dat",cs,Firma s GTM kódem umístěným na špatném místě v HTML,gtm_change_dev,nezjistí se – nástroj se tváří funkčně; odhalí to až audit,neuvedeno (bez auditu neomezeně dlouho),ztráta významné části dat; nelze ověřit Google Search Console,A1;A4;G4,no,"Nástroj vypadá funkčně, ale tag se nespouští",EG4-021
NG4-006,2026-09-04,CZ,b2b_leadgen,blog,https://digitalniarchitekti.cz/clanek/12-problemu-webove-analytiky/,"Přicházím jako nový markeťák… vidím, že přístup má jakýsi info mail. Nikdo si nepamatuje, proč.",cs,Nástup nového marketéra do firmy bez dokumentace měření,access_lost,"až při nástupu nového člověka, který hledá, kdo má přístupy a proč jsou nastavení taková, jaká jsou",při obměně lidí (měsíce až roky po vzniku problému),"nikdo neví, co který tag dělá; strach cokoli měnit; ztráta kontroly nad účty",H2;C6;A3;A6,no,"Odešel člověk, dokumentace neexistuje",EG4-022
NG4-007,2026-09-04,CZ,eshop_mid,blog,https://www.marketingppc.cz/nejdrazsi-chyby-v-google-ads/spravne-mereni-konverzi/,Zdvojené konverze. Pokud se během pár let vystřídalo pár správců Google Ads kampaní,cs,"E-shop, kterému se během několika let vystřídalo víc správců Google Ads kampaní; každý si nasadil vlastní konverzní měření",gtm_change_dev,srovnáním odchylky mezi systémy; agentura doporučuje pátrat při odchylce v desítkách procent (do 10 % považuje za normu),roky (chyba přežívá střídání správců),zdvojené konverze nadhodnocují výkon kampaní; rozpočty se alokují podle nafouknutých čísel,A6;D1;G2;A3,no,Vrstvení měření po několika správcích,EG4-024
NG4-008,2026-09-04,CZ,eshop_mid,blog,https://www.marketingppc.cz/nejdrazsi-chyby-v-google-ads/spravne-mereni-konverzi/,posílání nesprávné hodnoty transakcí. Pokud měřicí kód pošle do Google Analytics souhrnnou částku,cs,"E-shop, jehož měřicí kód posílá do GA souhrnnou částku objednávky včetně DPH a poštovného",revenue_mismatch,"srovnáním hodnoty konverzí s reálnou marží; DPH odvede stát, poštovné přepravce, ani jedno by v hodnotě konverze být nemělo",neuvedeno,"hodnota konverzí je systematicky nadhodnocená, Smart Bidding se optimalizuje na neexistující tržbu",G2;D1;A4,no,Hodnota konverze obsahuje DPH a poštovné,EG4-024
NG4-009,2026-09-04,SK,eshop_mid,blog,https://www.dexfinity.com/marketingove-nastroje/webova-analytika-ovplyvnuje-ci-rastiete-alebo-pomaly-hnijete/,"Výpadok nastáva aj v prípade, keď používateľ odíde na platobnú bránu, po zaplatení sa vráti, ale kód sa nespustí.",sk,"E-shop s platební bránou, kde se měřicí kód na děkovací stránce po návratu z brány nespustí",release_web,srovnáním počtu objednávek v GA vs. v administraci; jinak vůbec,"neuvedeno – článek popisuje jako trvalý stav, dokud to neopraví programátor","objednávka se nezapíše do GA, ani do Google Ads a Facebooku; marketér utlumí kredit na kampaň, která ve skutečnosti funguje, a e-shop přichází o tržby",G2;A1;A4;D1;D2,no,Objednávky z platební brány se do měření nezapíší,EG4-027
NG4-010,2026-09-04,SK,eshop_mid,blog,https://www.dexfinity.com/marketingove-nastroje/webova-analytika-ovplyvnuje-ci-rastiete-alebo-pomaly-hnijete/,"Spustenie kódu až po zaplatení objednávky. Ak čakáte až na zaplatenie objednávky (napríklad dobierkou), systém ju už spätne nepriradí.",sk,"E-shop s dobírkou, kde se konverze měří až po zaplacení objednávky",gtm_change_dev,"až při analýze, proč v GA chybí objednávky na dobírku",neuvedeno,objednávky na dobírku systém zpětně nepřiřadí – trvale chybějí v atribuci kampaní,G2;D1;A4,no,"Konverze se měří v okamžiku, kdy už ji nelze přiřadit",EG4-027
