id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
N6-001,2026-09-04,GLOBAL,marketplace / e-shop velký,vendor_testimonial,https://metricswatch.com/alerts,"We recently experienced data loss that went unnoticed for several days, affecting dashboards, reports, and business decisions.",en,Web analytik evropského automotive marketplace; ztráta dat v GA4 bez povšimnutí (příčina neuvedena – kód odhad),release_web,až následně z dashboardů/reportů,několik dní,chybné reporty a rozhodnutí několik dní,alert na propad metrik do hodiny (koupili Metrics Watch),neuvedeno,tiché rozbití měření,E6-025
N6-002,2026-09-04,GLOBAL,enterprise / agentura,vendor_testimonial,https://www.trackingplan.com/,"You can have a perfectly implemented tag, in the right place, firing the right event — and still lose most of your data. If the timing is wrong relative to how real users behave on your specific traffic mix, it is operationally invisible until something makes you look at it differently.",en,"Havas Media Network; tag správně nasazen, ale timing vůči chování reálných uživatelů způsobí ztrátu většiny dat (kód nejbližší – nejde o release, ale o skrytou vadu implementace)",release_web,"náhodně, 'until something makes you look'",neurčeno (dlouho),ztráta většiny dat z tagu,"monitoring reálného provozu, ne jen debug v prohlížeči",neuvedeno,tiché rozbití měření,E6-063
N6-003,2026-09-04,GLOBAL,obecně,vendor_landing,https://www.trackingplan.com/pricing,"Tracking breaks all the time, especially after front-end changes, consent updates, or tag edits.",en,"Vendor pojmenovává tři nejčastější spouštěče: front-end změny, změny consentu, úpravy tagů",release_web,neuvedeno,neuvedeno,'Money burns when marketing data doesn't tell the true story',24/7 automatická detekce chyb,ne,tiché rozbití měření,E6-004
N6-004,2026-09-04,GLOBAL,e-shop malý/střední (sGTM),third_party_review,https://datascale.de/en/blog/stape-io-review-2026/,"A campaign launches, volume jumps, the plan no longer covers it...Without monitoring, you find out from accounting.",en,"Provoz sGTM na Stape; kampaň zvedne objem requestů nad kvótu plánu (kód nejbližší – překročení kvóty hostingu, ne BQ)",bq_cost_spike,z faktury/účtárny,měsíc (fakturační cyklus),"neplánované náklady, případně omezení služby",monitoring objemu requestů s alertem,ne,provozní náklady sGTM,E6-018
N6-005,2026-09-04,GLOBAL,e-shop malý/střední (sGTM),third_party_review,https://datascale.de/en/blog/stape-io-review-2026/,Three-day logs on Pro. That's tight for debugging. An attribution problem someone reports a week later can no longer be reconstructed.,en,Stape Pro uchovává logy 3 dny; klient nahlásí atribuční problém po týdnu a nelze ho dohledat,revenue_mismatch,stížnost klienta po týdnu,7+ dní,"nemožnost diagnózy, ztráta důvěry",delší retence logů / vlastní log sink do BQ,ne,chybějící historie pro diagnostiku,E6-018
N6-006,2026-09-04,GLOBAL,agentura / SMB,review_site,https://www.getapp.com/business-intelligence-analytics-software/a/supermetrics/reviews/,Loses connection multiple times,en,Supermetrics konektor do reportů opakovaně ztrácí připojení ke zdroji,connector_token,dashboard bez dat / ruční zjištění,neuvedeno,"zastavené reporty, ruční re-autorizace",alert na neúspěšný přenos + rutina re-autorizace,ne,rozbitý konektor,E6-058
N6-007,2026-09-04,GLOBAL,enterprise,review_site,https://www.capterra.com/p/156573/WebAssurance/,Frequent web journey failures in production without any change in scripts,en,ObservePoint syntetické journeys padají bez změny skriptu – falešné poplachy (kód nejbližší; navrhnout nový kód tool_noise),release_web,alert z nástroje,okamžitě (falešně),"čas na triáž falešných alertů, únava z alertů","člověk, který alerty třídí a udržuje testovací scénáře",ne,alertová únava / falešné poplachy,E6-056
N6-008,2026-09-04,GLOBAL,enterprise,review_site,https://www.capterra.com/p/156573/WebAssurance/,You get informed in advance if any of your analytics tagging break in production,en,Důvod nákupu ObservePoint: dozvědět se o rozbitém taggingu v produkci dřív než z čísel,release_web,alert z nástroje,minuty–hodiny,(prevence) – bez nástroje by se zjistilo z reportů,tag monitoring / syntetické průchody,ne,tiché rozbití měření,E6-056
N6-009,2026-09-04,GLOBAL,SMB / agentura,vendor_landing,https://www.nicelookingdata.com/pricing,A tag fires in GTM but no key event is configured in GA4... These are the most expensive analytics bugs to track down manually,en,"Nesoulad mezi GTM a GA4 konfigurací: tag odesílá event, ale v GA4 není označen jako klíčová událost → konverze se nepočítají (kód nejbližší – nekoordinovaná změna konfigurace)",gtm_change_dev,ruční audit / cross-check nástroje,neuvedeno,chybějící konverze pro Ads/GA4 reporty,automatický cross-check GTM ↔ GA4 (NLD 3 cross-checky),ne,konfigurační drift GA4/GTM,E6-044
N6-010,2026-09-04,GLOBAL,e-shop střední,vendor_testimonial,https://metricswatch.com/alerts,"With MetricsWatch, we are alerted within an hour if any of our key performance indicators are out of variance... The alerts have helped us quickly identify issues with ad campaigns, payment gateways, and product availability, saving us time and money.",en,"Vari (e-commerce, VP): alert na odchylku KPI odhalil i problémy platební brány a dostupnosti produktů – nejde o měření, ale alerting nad GA4 je zachytil (kód nejbližší)",revenue_mismatch,alert do hodiny,do 1 h,ušetřený čas a tržby,alerting nad klíčovými KPI každých 5–15 min,ne,byznys anomálie zachycená analytikou,E6-025
