id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
PV4-001,2026-09-04,GLOBAL,GLOBAL,ga4monitor.com,saas_tool,"GA4 Monitor – weekly automated audits, real-time alerts, and prioritised fix recommendations",saas,Starter,"$29/ month",USD,mesic,667,,1 GA4 property,GA4,,no,"NOVÁ (v 1. kole nebyl nalezen): škáluje počtem GA4 property; 35+ data quality checks; roční platba „2 months free“; setup „no code, no SDK“ přes Google OAuth; BigQuery se nikde nezmiňuje; kurz 1 USD = 23 Kč; nejlevnější kontinuální GA4 monitoring nalezený v 1. i 2. kole",https://ga4monitor.com/,
PV4-002,2026-09-04,GLOBAL,GLOBAL,ga4monitor.com,saas_tool,"GA4 Monitor – weekly automated audits, real-time alerts, and prioritised fix recommendations",saas,Pro,"$99/ month",USD,mesic,2277,,5 GA4 properties,GA4,,no,"NOVÁ; škáluje počtem GA4 property; kurz 1 USD = 23 Kč",https://ga4monitor.com/,
PV4-003,2026-09-04,GLOBAL,GLOBAL,ga4monitor.com,saas_tool,"GA4 Monitor – weekly automated audits, real-time alerts, and prioritised fix recommendations",saas,Agency,"$499/ month",USD,mesic,11477,,30 GA4 properties,GA4,,no,"NOVÁ; agenturní tier = 383 Kč/property/měs; kurz 1 USD = 23 Kč",https://ga4monitor.com/,
PV4-004,2026-09-04,GLOBAL,GLOBAL,Google (Looker Studio / Data Studio),saas_tool,Data Studio Pro,saas,Pro,"$9 per user per project per month",USD,mesic,207,,per user per project,"Looker Studio, Google Cloud",,no,"NOVÁ – zaplňuje mezeru z 1. kola („cena per user na stránce neuvedena“). Cena je v tabulce na cloud.google.com/data-studio; doslova také: „Pricing per user per month for Looker Studio Pro varies depending on the length of the customer’s subscription. Our self-service tier remains available at no cost.“ Škáluje se uživateli × projekty. Kurz 1 USD = 23 Kč",https://cloud.google.com/data-studio,
PV4-005,2026-09-04,GLOBAL,GLOBAL,Elevar,saas_tool,Elevar – Shopify server-side tracking,saas,Core,"$225 /mo",USD,mesic,5175,,"Process up to 2k orders/mo",Shopify,,no,"OPRAVA P6 (Elevar): stará sada 0/200/450/950 USD na stránce DNES NENÍ. Platný ceník je Core/Advanced/Premium/Elite. Škáluje objednávkami/měs. Ověřeno přes r.jina.ai (přímý fetch www.getelevar.com/pricing přesměrovává na audiense.com). Kurz 1 USD = 23 Kč",https://www.getelevar.com/pricing,
PV4-006,2026-09-04,GLOBAL,GLOBAL,Elevar,saas_tool,Elevar – Shopify server-side tracking,saas,Advanced,"$650 /mo",USD,mesic,14950,,"Process up to 10k orders/mo",Shopify,,no,"OPRAVA P6; škáluje objednávkami/měs; kurz 1 USD = 23 Kč",https://www.getelevar.com/pricing,
PV4-007,2026-09-04,GLOBAL,GLOBAL,Elevar,saas_tool,Elevar – Shopify server-side tracking,saas,Premium,"$1,250 /mo",USD,mesic,28750,,"Process up to 30k orders/mo",Shopify,,no,"OPRAVA P6; škáluje objednávkami/měs; kurz 1 USD = 23 Kč",https://www.getelevar.com/pricing,
PV4-008,2026-09-04,GLOBAL,GLOBAL,Elevar,saas_tool,Elevar – Shopify server-side tracking,saas,Elite,"Starting at $3,000 /mo",USD,mesic,69000,,"Process up to 75k orders/mo",Shopify,,no,"NOVÁ – čtvrtý tier v 1. kole nezachycen; horní kotva nástrojové vrstvy pro velký e-shop; kurz 1 USD = 23 Kč",https://www.getelevar.com/pricing,
PV4-009,2026-09-04,GLOBAL,GLOBAL,Elevar,saas_tool,"Analyst Services (add-on)",saas,"Analyst Services – Tier 1","+$500/month",USD,mesic,11500,"up to 3 analyst requests monthly",,Shopify,,no,"OPRAVA P6: v 1. kole vedeno jako „ongoing tracking support 500 USD/měs“ ze snippetu vyhledávače; doslovný název na stránce je Analyst Services a jednotkou nejsou hodiny, ale „up to 3 analyst requests monthly“. KLÍČOVÁ KOTVA LIDSKÉ VRSTVY: 11 500 Kč/měs za 3 lidské zásahy měsíčně NAD zaplaceným nástrojem. Kurz 1 USD = 23 Kč",https://www.getelevar.com/pricing,
PV4-010,2026-09-04,GLOBAL,GLOBAL,Elevar,saas_tool,"Analyst Services (add-on)",saas,"Analyst Services – Tier 2","+$1000/month",USD,mesic,23000,"up to 10 analyst requests monthly",,Shopify,,no,"NOVÁ – druhý lidský tier v 1. kole nezachycen. 23 000 Kč/měs za 10 zásahů měsíčně bez monitoringu (ten je v ceně nástroje). Horní kotva lidské vrstvy = přesně horní hranice pásma 16–23 tis. Kč. Kurz 1 USD = 23 Kč",https://www.getelevar.com/pricing,
PV4-011,2026-09-04,GLOBAL,GLOBAL,Elevar,saas_tool,"Additional Destinations (add-on)",saas,"Additional destination","$125/mo add-on per additional destination",USD,mesic,2875,,,"ad platformy / destinace",,no,"NOVÁ: příplatek za každou další destinaci (ad platformu) napříč všemi tiery – kotva pro „počet reklamních platforem“ jako cenovou osu; kurz 1 USD = 23 Kč",https://www.getelevar.com/pricing,
PV4-012,2026-09-04,GLOBAL,GLOBAL,Elevar,saas_tool,"Predicted Lifetime Value (pLTV) (add-on)",saas,"pLTV – Tailored Start","$500/mo add-on for Tailored Start",USD,mesic,11500,,,Shopify,,no,"NOVÁ; analytický add-on, ne monitoring; kurz 1 USD = 23 Kč",https://www.getelevar.com/pricing,
PV4-013,2026-09-04,GLOBAL,GLOBAL,Trackingplan,saas_tool,"Pay as you grow",saas,"Pay as you grow – 200k MAU","$499",USD,mesic,11477,,"200k MAU",web + app,,no,"NOVÁ: 1. kolo mělo jen krajní body 249 a 999 USD; prostřední tier je 499 USD. „Monthly price billed annually“. Škáluje MAU (50k / 200k / 500k). BigQuery se na cenové stránce nezmiňuje. Kurz 1 USD = 23 Kč",https://www.trackingplan.com/pricing,
PV4-014,2026-09-04,GLOBAL,GLOBAL,Addingwell,saas_tool,"Addingwell – server-side tagging",saas,Free,"a free plan with up to 100,000 requests",EUR,mesic,0,,"100 000 requests/měs",sGTM,,no,"NOVÁ: 1. kolo free plán neuvádělo; škáluje requesty/měs",https://www.addingwell.com/pricing,
PV4-015,2026-09-04,GLOBAL,GLOBAL,Addingwell,saas_tool,"Container (add-on)",saas,"+ Container","+30 € / month",EUR,mesic,750,,"1 další web/kontejner",sGTM,,no,"NOVÁ: v 1. kole „+ add-ony“ bez čísel. Škáluje počtem kontejnerů = počtem webů; kurz 1 EUR = 25 Kč",https://www.addingwell.com/pricing,
PV4-016,2026-09-04,GLOBAL,GLOBAL,Addingwell,saas_tool,"Domain (add-on)",saas,"+ Domain","+10 € / month",EUR,mesic,250,,"1 další doména",sGTM,,no,"NOVÁ; kurz 1 EUR = 25 Kč",https://www.addingwell.com/pricing,
