id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
NG1-001,2026-09-04,CZ,eshop_mid,forum,https://webtrh.cz/diskuse/mereni-b2b-a-b2c-prestashop-google-ads/,Pro příklad tržby v Google Ads jsou 500 000 Kč z akvizičních kampaní a z Google Analytics 90 000 Kč.,cs,"PrestaShop e-shop se smíšeným B2B/B2C provozem, akviziční kampaně v Google Ads",revenue_mismatch,ruční srovnání tržeb Google Ads vs. GA4,neuvedeno (dlouhodobé),"rozdíl 410 000 Kč v tržbách za sledované období (Ads 500 tis. vs. GA4 90 tis.); Google Ads ""nafukuje data o stovky procent"", kampaně se optimalizují na neporovnatelná čísla",D5;G2;A4;A2,no,GA4 a reklamní platforma vykazují nesrovnatelné tržby,EG1-001
NG1-002,2026-09-04,CZ,eshop_small,forum,https://webtrh.cz/diskuse/google-analytics-nedomeritelne-zdroje-konverzi/,"stalo se mi to poprvé u nového e-shopu, kdy mi TÉMĚŘ veškerá návštěvnost spadá do zdroje ""(direct) / (none)"" - Direct návštěvy to být určitě nemohou, většinu trafficu taháme z Facebooku a GLG ad.",cs,"Nový e-shop, traffic z Facebooku a Google Ads",consent_change,majitel si všiml nesmyslného rozpadu zdrojů v GA,neuvedeno,"atribuce kampaní nepoužitelná, nelze vyhodnotit, co funguje; příčinou podle komunity cookie lišta",C4;B1;G3,no,Kampaně spadly do (direct)/(none),EG1-002
NG1-003,2026-09-04,CZ,eshop_small,forum,https://webtrh.cz/diskuse/pocet-kliknuti-ve-fb-reklame-nasobne-neodpovida-pageviews-v-ga/,"Konkrétně mám 232 kliknutí na odkaz, ale v GA za stejné období jen 67 pageviews na té URL. (a je jedno jestli se dívám do GA3 nebo GA4)",cs,Facebook Ads kampaň na konkrétní URL,consent_change,srovnání FB Ads Manageru a GA,v rámci kampaně,71 % prokliků není v GA vidět; rozpočet FB kampaní se vyhodnocuje naslepo,B1;D2;D5,no,Cookie lišta potichu ukrojila část dat,EG1-003
NG1-004,2026-09-04,CZ,agency,forum,https://webtrh.cz/diskuse/pocet-kliknuti-ve-fb-reklame-nasobne-neodpovida-pageviews-v-ga/,"Stává se to úplně běžně, už před lištou se ztrácelo klidně 15% dat, teď už je to běžně 30%.",cs,Obecná zkušenost českého praktika po nasazení cookie lišt,consent_change,dlouhodobé srovnávání napříč klienty,–,"ztráta měřených dat vzrostla z ~15 % na ~30 %; doporučení ""být opatrný se stavěním hypotéz jen z GA""",B1;B2;D5,no,Cookie lišta potichu ukrojila část dat,EG1-004
NG1-005,2026-09-04,SK,eshop_mid,forum,https://webtrh.cz/diskuse/prestashop-nespravne-pripisovane-zdroje-navstevnosti/,"v Google Analytics dlhodbo pozorujeme pripisovanie transakcií platobnej bráne a to aj napriek tomu, že ju máme zaradenú v liste vylučujúcich zdrojov. Problém sme konzultovali aj s Google Supportom ale neúspešne.",sk,"PrestaShop e-shop, měřicí kódy nasazené přes modul třetí strany",utm_chaos,dlouhodobé pozorování v GA,dlouhodobě (měsíce),transakce připsané platební bráně místo skutečného kanálu; atribuce a rozpočtování naslepo; support Googlu nepomohl,C3;C4;A4,no,Platební brána si přisvojuje konverze,EG1-005
NG1-006,2026-09-04,SK,eshop_mid,forum,https://webtrh.cz/diskuse/prestashop-nespravne-pripisovane-zdroje-navstevnosti/,tiež vidíme niektoré transakcie duplikovane (rovnaké ID) aj keď teda celkové tržby približne sedia s reálnymi tržbami,sk,"Dva GA kódy na jednom e-shopu (jeden pro traffic, druhý pro konverze)",gtm_change_dev,testovací objednávky,neuvedeno,"duplicitní transakce se stejným ID; celkové tržby ""přibližně sedí"", takže hrubé srovnání nic neodhalí",A6;A4;G2,no,Duplicitní tagy a transakce,EG1-006
NG1-007,2026-09-04,CZ,agency,forum,https://webtrh.cz/diskuse/google-analytics-nemeri/,"proč mi nové GA4 neukazují od včerejšího dnes uživatelé? První dva dny to bylo bez problému a teď poslední dva dny to neměří a to se s kódem ani webem nic nedělalo. A nedělá mi to na jednom webu, ale na všech.",cs,"Migrace na GA4, správce více webů",ga4_change,náhodný pohled do přehledu,2 dny,výpadek reportingu napříč všemi weby; nikdo neposlal upozornění,G1;G7;C5,no,GA4 tiše přestalo vykazovat,EG1-007
NG1-008,2026-09-04,CZ,agency,forum,https://webtrh.cz/diskuse/zapomenute-prastupy-do-google-analytics/,"Klientka zapomněla svoje přístupy do Google analytics, je nějaká možnost jak je zjistit? Neví ani mailovou adresu ani heslo.",cs,"Klient bez dokumentace přístupů, nový dodavatel",access_lost,při předání agentuře,–,"historická data nedostupná, nutnost založit novou property a začít od nuly (""to už je prostě osud"")",C6;H2;E4,no,Odešel člověk / nikdo nemá přístupy,EG1-008
NG1-009,2026-09-04,CZ,eshop_small,forum,https://webtrh.cz/diskuse/pokles-merenych-pristupu-z-ga-a-rozdil-proti-cloudflare/,"můj web vybornakava.cz denně navštíví cca 500-800 UIP. V sobotu 6.3. mi ale GA ukazují propad na cca 100 UIP a od té doby se nedostanu za den nad 300. ... Analytika od CloudFlare také neukazuje žádný drop, vše v normě",cs,"E-shop s kávou, GA + Cloudflare analytics souběžně",browser_change,druhý nezávislý zdroj čísel (Cloudflare) neukazoval propad,~5 dní,měřená návštěvnost spadla na 1/5 až 1/2 při nezměněném reálném provozu; bez druhého zdroje by to vypadalo jako propad trhu,G1;G3;D5,no,Tichý propad měřených dat bez reálné příčiny,EG1-009
NG1-010,2026-09-04,CZ,eshop_small,forum,https://webtrh.cz/diskuse/ga4-problem-uplatnen-limit/,"setkal jste se v nových GA4 přehledech někdo s tímto problémem [uplatněn limit] a jak ho řešit? ... Zajímavý, že to má náš web zrovna s největší návštěvností, ostatní s menší návštěvností to nemají.",cs,GA4 thresholding kvůli zapnutým Google Signals,ga4_change,hláška v přehledu GA4,neuvedeno,"data v přehledech skrytá, uživatel netuší proč; řešení = přepnout Reporting Identity",C2;C5,no,"Konfigurace GA4, kterou nikdo nehlídá",EG1-010
