id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
N4-001,2026-09-04,EU,obecný web / e-shop (AT),blog_agentura,https://lemontec.at/news-und-trends/ga4-und-gtm-laufende-wartung/,"Nicht selten kommt es vor, dass sich diese Parameter auf der Website ändern. Das führt dann häufig dazu, dass ein Event schon monatelang nicht mehr erfasst wird, es aber niemand bemerkt.",de,Trigger v GTM závisí na CSS ID/třídách/dataLayer eventech; vývojář změní šablonu,release_web,typicky vůbec / náhodně,měsíce,"event se měsíce neměří, reporty a optimalizace kampaní bez dat",denní automatická kontrola top 10 eventů s alertem (G1/G4) + QA po releasu (A1),ne,,E4-002
N4-002,2026-09-04,EU,obecný web (AT),blog_agentura,https://lemontec.at/news-und-trends/ga4-und-gtm-laufende-wartung/,"Auch große Bugs wie zum Beispiel ein versehentlicher Ausbau des GTM, was das gesamte Tracking zerstört, wird mit diesem Alerting innerhalb von 24 Stunden erkannt",de,Při úpravě webu někdo omylem odstraní GTM snippet,gtm_change_dev,alertem do 24 h (s monitoringem); bez něj až z reportů,24 h s alertem,kompletní výpadek měření,alert na pageviews/GTM integraci (G4),ne,,E4-002
N4-003,2026-09-04,EU,e-shop DACH,blog_agentura,https://e-dialog.group/blog/digital-analytics/die-wichtigsten-tracking-monitoring-losungen-auf-einen-blick/,"Wenn durch Fehler beispielsweise Audience Listen nicht mehr befüllt werden, werden personalisierte Werbemittel nicht effizient ausgespielt.",de,Chyba v trackingu po změně webu přestane plnit publika pro remarketing,release_web,podle výkonu kampaní,neuvedeno,"personalizovaná reklama se nevydává efektivně, plýtvání spendem","tag monitoring (G4), kontrola publik (D1)",ne,,E4-017
N4-004,2026-09-04,EU,malý e-shop Shopify (DE),forum,https://community.shopify.com/t/shopify-conversion-tracking-korrekt-eingerichtet-aber-daten-kommen-nicht-bei-google-adwords-an/383277,"seit dem trackt Google einfach garnichts mehr bzw. es kommen keine Daten mehr an … der Wert bleibt bei allen 7 Conversion Aktionen auf 0,00",de,13. 12. 2024 instalována cookie lišta Pandectes; od té doby žádné konverze v Google Ads,consent_change,"majitel v rozhraní Google Ads (konverze 0,00), post 28. 12.",~15 dní,"Smart Bidding bez konverzních dat přes Vánoce, kampaně slepé","kontrola chování tagů dle consentu po změně CMP (B1), alert na purchase=0 (G1)",ne,,E4-024
N4-005,2026-09-04,EU,e-shop Shopify (DE),forum,https://community.shopify.com/t/google-ads-conversion-tracking-funktioniert-nicht-mehr/94991,"gestern bin ich durch Zufall über einen massiven Fehler in einem unserer Shops gestoßen … Von einem Tag auf den anderen sind alle Tags als 'inaktiv' gekennzeichnet … uns geht gerade ordentlich Umsatz durch die Lappen, da die Conversions keinen Kampagnen mehr zugeordnet werden",de,Konverzní tagy Google Ads ze dne na den 'neaktivní' bez zásahu majitele,ad_platform_change,náhodou při kontrole účtu,neznámo (odhaleno náhodou),"konverze nepřiřazené kampaním, algoritmus 'schwach auf der Brust', ztráta obratu","denní alert na propad konverzí v Ads vs. GA4 (G1, D5)",ne,,E4-025
N4-006,2026-09-04,EU,e-shop Shopify (DE),forum,https://community.shopify.com/t/google-ads-conversion-tracking-funktioniert-nicht-mehr/94991,Bis 8. Mai wurden täglich etwa 10-12 Conversions in Google Ads getrackt. Nach dem 8. Mai plötzlich nur noch 1-2 ohne Änderungen an den Google Ads Kampagnen,de,Po 8. 5. 2023 propad konverzí z 10–12/den na 1–2 bez změny kampaní (Google Channel App),ad_platform_change,z denního počtu konverzí v Ads,dny–týdny,"80–90 % konverzí nezaznamenáno, bidování na zlomku dat","alert na propad key eventu (G1), srovnání s backendem (D5)",ne,,E4-025
N4-007,2026-09-04,EU,e-shop Shopify (DE),forum,https://community.shopify.com/t/google-ads-conversion-tracking-2024-fehlerhaft/314752,"seit der Einführung der neuen Google & YouTube App für Shopify funktioniert das Conversion Tracking überhaupt nicht mehr … Man investiert Geld in Werbeanzeigen, kann aber nicht nachvollziehen, ob der Verkauf organisch oder durch Werbung erzielt wurde",de,Změna integrace Google & YouTube app pro Shopify rozbila conversion tracking,ad_platform_change,"nesoulad: Ads hlásí prodej, Shopify ho nezná",měsíce (prosinec → duben),"inzerent neví, co přinesla reklama","měsíční srovnání konverzí Ads vs. backend (D5), reakce na změny platformy (B3/D)",ne,,E4-026
N4-008,2026-09-04,EU,obecný web / lead-gen (DK),blog_agentura,https://manids.dk/tracking-tjekliste-er-din-konverteringssporing-korrekt/,"Tracking bliver sat op, testet én gang og derefter glemt. Seks måneder senere er halvdelen af opsætningen brudt.",da,"Setup po implementaci nikdo nerevaliduje, web se mezitím mění",release_web,až při auditu,6 měsíců,polovina měření nefunkční,"pravidelná revalidace po releasech (A1), kvartální health check (C)",ne,,E4-066
N4-009,2026-09-04,EU,B2B lead-gen (DK),blog_agentura,https://manids.dk/tracking-tjekliste-er-din-konverteringssporing-korrekt/,"En virksomhed har kørt Google Ads i et halvt år, rapporteret 200 konverteringer i platformen, men når vi sammenligner med det faktiske antal leads i CRM-systemet, er tallet 40 procent lavere. … Problemet opdages sjældent af sig selv. GA4 giver ingen fejlmeddelelse, når en konvertering er sat forkert op.",da,Špatně nastavená konverze (dvojité počítání) půl roku nafukovala výsledky Ads,revenue_mismatch,až při srovnání s CRM agenturou,6 měsíců,půl roku optimalizace na o 40 % nadhodnocená čísla,"měsíční rekonciliace konverzí vs. CRM/backend (D5, G2)",ne,,E4-066
N4-010,2026-09-04,EU,střední e-shop / enterprise (UK),web_agentura,https://www.measurelab.co.uk/solutions/managed-analytics/,Tracking drifts when consent requirements change.,en,"Změna consent požadavků (CMP, legislativa) posune chování tagů",consent_change,"postupně, 'nobody raises the alarm until damage is done'","postupně, týdny+",posun měřených čísel bez zjevné příčiny,"kontrola consentu po změnách (B1), monitoring podílu souhlasů (B2)",ano,,E4-043
