id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
P3-001,2026-09-04,SK,SK,DASE,analytics_agency,Kontinuálna analytická podpora (mesačný paušál),retainer_hours,minimum,700,EUR,month,17500,neuvedeno (při ADMA 65 €/h ≈ 10–11 h),,"GA4, GTM, sGTM, BigQuery/DWH, Looker Studio",neuvedeno,optional,"Min. 700 € bez DPH/měs; klient určuje výši paušálu = objem práce; 2měsíční výpověď; fakturace odvedené práce. Obsah: údržba reportingu, nová měření, správa sGTM, DWH/BigQuery, CRO, proaktivní a ad-hoc analýzy, konzulting, školení. Jediná veřejná cena kontinuální správy na SK. Kurz 1 EUR = 25 CZK.",https://www.dase-analytics.com/blog/sk/analytika-nie-je-sprint-ale-maraton/,E3-001;E3-002;E3-005
P3-002,2026-09-04,SK,SK,DASE,analytics_agency,Efektívna analytika v praxi,fixed_package,od,1400,EUR,one_off,35000,neuvedeno,1,"GA4, GTM",,no,Jednorázový vstupní produkt (audit + measurement plan + KPI + školení/workshop); od 1 400 € bez DPH; cena za one-off přepočtena do sloupce price_czk_month jen pro srovnání (period=one_off). Kurz 1 EUR = 25 CZK.,https://www.dase-analytics.com/sk/efektivna-analytika-v-praxi/,E3-009
P3-003,2026-09-04,SK,SK,DASE (citace GCP ceníku),analytics_agency,sGTM hosting Google Cloud,saas,7–100 €/měs podle requestů,53.5,EUR,month,1338,,1,sGTM,,no,"Range 7 €/měs (250 tis. requestů) – 100 €/měs (25 mil. requestů); zapsán střed 53,5 €. Provozní náklad, ne služba; DASE: dlouhodobý provoz vyžaduje údržbu a monitoring. Kurz 1 EUR = 25 CZK.",https://www.dase-analytics.com/blog/sk/server-side-gtm-qa-common-sense-verzia/,E3-007
P3-004,2026-09-04,SK,SK,ConsultOne / webanalytics.sk,analytics_agency,Google Tag Manager – implementácia,fixed_package,od,350,EUR,one_off,8750,,1,"GTM, GA4",,no,"Jednorázově od 350 € bez DPH; sGTM provoz 'od 20 EUR mesačne', 'najlepšie investovaných 50 EUR mesačne'. Bez veřejného retaineru. Kurz 1 EUR = 25 CZK.",https://www.consultone.sk/google-tag-manager/,E3-016
P3-005,2026-09-04,SK,SK,ConsultOne / webanalytics.sk,analytics_agency,Server-side tracking (sGTM) – prevádzka,saas,základný balík,20–50,EUR,month,875,,1,sGTM,,no,Provozní náklad hostingu 20–50 €/měs podle návštěvnosti (zapsán střed 35 €); implementace 1–2 pracovní dny. Kurz 1 EUR = 25 CZK.,https://www.webanalytics.sk/google-tag-manager/server-side-tracking-sgtm-najlepsie-investovanych-50-eur-do-marketingu/,E3-016
P3-006,2026-09-04,SK,SK,TechWeb.sk,performance_agency,Google Tag Manager implementácia – základná,fixed_package,základná,350,EUR,one_off,8750,,1,"GTM, GA4, Google Ads, cookie consent",,no,"GTM snippet, GA4, Google Ads konverze, Cookie Consent; od 350 € bez DPH. Měsíční správa neuvedena; blog doporučuje revizi min. kvartálně. Kurz 1 EUR = 25 CZK.",https://techweb.sk/tag-manager-implementacia,E3-018;E3-019
P3-007,2026-09-04,SK,SK,TechWeb.sk,performance_agency,Google Tag Manager implementácia – komplexná e-shop,fixed_package,komplexná,800,EUR,one_off,20000,,1,"GTM, GA4 EEC, Consent Mode v2",,no,"dataLayer schéma pro e-shop, Enhanced Ecommerce, Consent Mode v2; od 800 €. sGTM ceněno zvlášť. Kurz 1 EUR = 25 CZK.",https://techweb.sk/tag-manager-implementacia,E3-018
P3-008,2026-09-04,SK,SK,TechWeb.sk,performance_agency,GTM audit,fixed_package,audit,150,EUR,one_off,3750,,1,GTM,,no,Audit GTM od 150 €. Kurz 1 EUR = 25 CZK.,https://techweb.sk/tag-manager-implementacia,E3-018
P3-009,2026-09-04,SK,SK,Starbomedia,performance_agency,"Nastavenie merania konverzií (GA4, server-side tagging, Enhanced Conversions)",fixed_package,od,400,EUR,one_off,10000,,1,"GA4, sGTM, Google Ads EC",,no,Jednorázově od 400 €. Kurz 1 EUR = 25 CZK.,https://starbomedia.sk/cennik,E3-021
P3-010,2026-09-04,SK,SK,Starbomedia (orientační tabulka v blogu),performance_agency,Údržba a aktualizácie server-side taggingu (Stape varianta),fixed_package,Stape,100–300,EUR,month,5000,neuvedeno,1,"sGTM, Meta CAPI, Google Ads",,no,Měsíční údržba a aktualizace sGTM 100–300 €/měs (zapsán střed 200 €) + Stape hosting 20–50 €/měs + GTM konfigurace agenturou 1 000–3 000 € jednorázově. Jediná explicitní měsíční cena údržby měření na SK. Kurz 1 EUR = 25 CZK.,https://starbomedia.sk/server-side-tagging-vs-server-side-tracking-aky-je-skutocny-rozdiel,E3-020
P3-011,2026-09-04,SK,SK,Starbomedia (orientační tabulka v blogu),performance_agency,Údržba server-side trackingu (GCP varianta),fixed_package,GCP,200–500,EUR,month,8750,neuvedeno,1,sGTM na GCP,,no,Údržba 200–500 €/měs (střed 350 €) + GCP hosting 120–300 €/měs + setup GCP 3 000–8 000 € jednorázově. Kurz 1 EUR = 25 CZK.,https://starbomedia.sk/server-side-tagging-vs-server-side-tracking-aky-je-skutocny-rozdiel,E3-020
P3-012,2026-09-04,SK,SK,Starbomedia,performance_agency,Správa Google Ads (obsahuje mesačnú validáciu čísel voči reálnym tržbám),fixed_package,od,350,EUR,month,8750,neuvedeno,1,"Google Ads, GA4",,no,"Cenová kotva PPC správy od 350 €/měs; měsíční validace čísel vůči tržbám je součástí správy PPC, ne samostatná služba. Kurz 1 EUR = 25 CZK.",https://starbomedia.sk/cennik,E3-021;E3-022
P3-013,2026-09-04,SK,SK,Dinally,freelancer,"Konzultácie (GA4, GTM, Meta Pixel, meranie konverzií, Ads)",hourly_rate,,110,EUR,hour,27500,proxy 10 h,,"GA4, GTM, Meta, Google Ads",,no,110 €/h; proxy 10 h/měs = 1 100 €. Trhy SK CZ AT DE RO HU. Kurz 1 EUR = 25 CZK.,https://www.dinally.sk/,E3-031
P3-014,2026-09-04,SK,SK,Dinally,freelancer,Správa kampaní,fixed_package,od,350,EUR,month,8750,neuvedeno,1,"Google Ads, Meta Ads",,no,Od 350 €/měs bez DPH; měření součástí nabídky. Kurz 1 EUR = 25 CZK.,https://www.dinally.sk/,E3-031
P3-015,2026-09-04,SK,SK,plexcore,freelancer,Konzultačné a realizačné služby – hodinová sadzba,hourly_rate,,70,EUR,hour,17500,proxy 10 h,,,,no,70 €/h; proxy 10 h/měs = 700 €. Není analytická firma – strukturální benchmark. Kurz 1 EUR = 25 CZK.,https://plexcore.sk/cennik/,E3-032
P3-016,2026-09-04,SK,SK,plexcore,freelancer,Ročná zmluva – 8 h/mesiac,retainer_hours,8 h/měs,532,EUR,month,13300,8,,,72 h,no,"Roční smlouva, měsíční platba, 66,50 €/h; reakční doba 72 h (při roční předplatbě 24 h). Struktura tierů: 8/40/80/160 h. Kurz 1 EUR = 25 CZK.",https://plexcore.sk/cennik/,E3-032
P3-017,2026-09-04,SK,SK,plexcore,freelancer,Ročná zmluva – 40 h/mesiac,retainer_hours,40 h/měs,2520,EUR,month,63000,40,,,72 h,no,63 €/h. Kurz 1 EUR = 25 CZK.,https://plexcore.sk/cennik/,E3-032
P3-018,2026-09-04,SK,SK,ADMA benchmark 2025 (via dobrymarketing.sk),analytics_agency,Špecialista webovej analytiky – priemerná hodinová sadzba členských agentúr,hourly_rate,,65,EUR,hour,16250,proxy 10 h,,,,no,ADMA průměr 2025: 65 €/h bez DPH (2022: 60 €/h dle snippetu PDF); proxy 10 h/měs = 650 €. Strategy/Account Director 90 €/h. Kurz 1 EUR = 25 CZK.,https://dobrymarketing.sk/blog/qa-freelnacer-marketer/,E3-033
P3-019,2026-09-04,SK,SK,Dexfinity Dexguide – trh freelancerov SK/CZ 2026,freelancer,Dátová analytika / GA4 – junior,hourly_rate,junior,25–45,EUR,hour,8750,proxy 10 h,,GA4,,no,"Range 25–45 €/h, střed 35 €; proxy 10 h = 350 €. Kurz 1 EUR = 25 CZK.",https://www.dexfinity.com/dexguide/freelancer/,E3-012
P3-020,2026-09-04,SK,SK,Dexfinity Dexguide – trh freelancerov SK/CZ 2026,freelancer,Dátová analytika / GA4 – mid,hourly_rate,mid,45–70,EUR,hour,14375,proxy 10 h,,GA4,,no,"Range 45–70 €/h, střed 57,5 €; proxy 10 h = 575 €. Kurz 1 EUR = 25 CZK.",https://www.dexfinity.com/dexguide/freelancer/,E3-012
P3-021,2026-09-04,SK,SK,Dexfinity Dexguide – trh freelancerov SK/CZ 2026,freelancer,Dátová analytika / GA4 – senior,hourly_rate,senior,70–110,EUR,hour,22500,proxy 10 h,,GA4,,optional,"Range 70–110 €/h, střed 90 €; proxy 10 h = 900 €. Kurz 1 EUR = 25 CZK.",https://www.dexfinity.com/dexguide/freelancer/,E3-012
P3-022,2026-09-04,SK,SK,Jaspravim.sk – MichalTycoon,marketplace,Google Analytics 4 - nastavenie merania,marketplace_gig,,50,EUR,one_off,1250,,1,"GA4, GTM",do 2 dní,no,"294 hodnocení, 17 prodejů; GA4 účet + nasazení přes GTM + purchase/konverze. Kurz 1 EUR = 25 CZK.",https://www.jaspravim.sk/michaltycoon/google-analytics-4---nastavenie-merania-194918,E3-035
