id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
P2-001,2026-09-04,CZ,CZ,RobertNemec.com,agentura,"Měsíční práce na webové analytice (tak, aby měla smysl)",fixed_package,od,9 250 Kč,CZK,měsíc,9250,neuvedeno,neuvedeno,"GA4, GTM, ClickTale",neuvedeno,ne,"minimální měsíční cena; obsah: analýza chování, testování, přehledy na míru; ne monitoring",https://robertnemec.com/umime/digitalni-analytika/webova-analytika/,E2-009
P2-002,2026-09-04,CZ,CZ,RobertNemec.com,agentura,"Měsíční práce na webové analytice (tak, aby měla smysl)",fixed_package,nejběžnější,18 500 Kč,CZK,měsíc,18500,cca 10 h (odvozeno z 1 850 Kč/h),neuvedeno,"GA4, GTM",neuvedeno,ne,"nejběžnější měsíční cena dle webu; hodiny odvozeny, ne uvedeny",https://robertnemec.com/umime/digitalni-analytika/webova-analytika/,E2-009
P2-003,2026-09-04,CZ,CZ,RobertNemec.com,agentura,Měsíční práce na webové analytice,fixed_package,vyšší varianta,31 200 Kč,CZK,měsíc,31200,neuvedeno,neuvedeno,"GA4, GTM",neuvedeno,ne,údaj z WebFetch výstupu stránky; v curl výřezu nepotvrzen,https://robertnemec.com/umime/digitalni-analytika/webova-analytika/,E2-009
P2-004,2026-09-04,CZ,CZ,RobertNemec.com,agentura,Webová analytika – hodinová sazba,hourly_rate,,1 850 Kč/h,CZK,hodina,18500,proxy 10 h,,,,ne,proxy 10 h,https://robertnemec.com/umime/digitalni-analytika/webova-analytika/,E2-009
P2-005,2026-09-04,CZ,CZ,Václav Ráš (dataras.cz),freelancer,Dlouhodobá spolupráce (více než 2 dny měsíčně),retainer_hours,dlouhodobá,13 000 Kč/MD,CZK,MD,26000,min. 2 MD = 16 h,neuvedeno,"GTM, GA4, BigQuery, Looker Studio",neuvedeno,ano,minimum 2 MD/měs → 26 000 Kč/měs; BQ součástí všech balíčků,https://dataras.cz/,E2-010
P2-006,2026-09-04,CZ,CZ,Václav Ráš (dataras.cz),freelancer,Krátkodobá spolupráce,hourly_rate,,2 400 Kč/h,CZK,hodina,24000,proxy 10 h,,"GTM, GA4, BigQuery",,ano,proxy 10 h,https://dataras.cz/,E2-010
P2-007,2026-09-04,CZ,CZ,Václav Ráš (dataras.cz),freelancer,"Základní implementace měření (GTM, GA4, BigQuery)",fixed_package,jednorázově,5 700 Kč,CZK,jednorázově,,,1,"GTM, GA4, BigQuery",,ano,jednorázová kotva; BQ export součástí i základu,https://dataras.cz/,E2-010
P2-008,2026-09-04,CZ,CZ,Tomáš Khoder (khoder.cz),freelancer,E-commerce report – měsíční správa,fixed_package,správa,2 500 Kč,CZK,měsíc,2500,neuvedeno,1 e-shop,"Shoptet, GA4, Google Ads, Sklik, Meta Ads, Heureka, GSC",konzultace do 24 h,ne,"tvorba reportu 4 500 Kč jednorázově; správa = údržba, optimalizace, reporting; trigger od 500 000 Kč obratu/měs",https://www.khoder.cz/,E2-011
P2-009,2026-09-04,CZ,CZ,Tomáš Khoder (khoder.cz),freelancer,Hodinová konzultace,hourly_rate,,950 Kč/h,CZK,hodina,9500,proxy 10 h,,,do 24 h,ne,proxy 10 h,https://www.khoder.cz/,E2-011
P2-010,2026-09-04,CZ,CZ,Tomáš Khoder (khoder.cz),freelancer,Nastavení GTM pro e-shop,fixed_package,jednorázově,7 500 Kč,CZK,jednorázově,,,1,"Shoptet, GTM, GA4 e-commerce",,ne,jednorázová kotva,https://www.khoder.cz/,E2-011
